Distance Group ,Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Timestamp,Sample Location,Sample Type,,,,
Mid,09/11/2014 12:00 PM,1.04,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107422,,0.00013,09/11/2014 11:00 AM,'---,,,,,
Mid,08/29/2015 7:30 AM,1.6,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),15SWE05523,15SWE05524,0.13,08/29/2015 6:30 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,03/15/2016 12:00 PM,1.17,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112630,,0.00013,03/15/2016 11:00 AM,'---,,,,,
Mid,07/19/2016 12:00 PM,2.44,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112429,,0.00013,07/19/2016 11:00 AM,'---,,,,,
Mid,08/26/2016 11:45 AM,2.16,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),16SWE08263,16SWE08264,0.13,08/26/2016 10:45 AM,Centre,SINGLE EUPHOTIC COMPOSITE,,,,
Mid,09/20/2016 12:00 PM,1.4,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112237,,0.00013,09/20/2016 11:00 AM,'---,,,,,
Mid,03/13/2017 12:00 PM,1.19,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111802,,0.00013,03/13/2017 11:00 AM,'---,,,,,
Mid,08/25/2017 7:45 AM,1.3,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),17SWE12773,17SWE12774,0.4,08/25/2017 6:45 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,09/18/2020 10:40 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,0.1,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE11038,20SWE11039,0.4,09/18/2020 9:40 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/18/2021 3:15 PM,2,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,0.1,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04621,21SWE04621-01,0.4,08/18/2021 2:15 PM,Centre,DISCRETE SAMPLE (GRAB),,,,
