Distance Group,Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Site Name,Unit Symbol
Mid,08/28/2013 01:10 PM,,5.85,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/07/2013 12:00 PM,,10.0,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/18/2014 04:00 PM,,20.8,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/11/2014 12:00 PM,,7.3,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/29/2015 07:30 AM,,25.7,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/15/2016 12:00 PM,,26.1,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/19/2016 12:00 PM,,17.0,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/26/2016 11:45 AM,,10.4,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/20/2016 12:00 PM,,19.4,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/13/2017 12:00 PM,,18.4,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/25/2017 07:45 AM,,8.0,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/18/2020 10:40 AM,,3.7,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/18/2021 03:15 PM,,10.9,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/16/2022 07:20 AM,,27.2,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/27/2000 12:00 PM,,,20.3,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/13/2001 12:00 PM,,,19.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/04/2002 12:00 PM,,,20.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/31/2003 12:00 PM,,,16.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,06/17/2004 02:30 PM,,,15.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/14/2004 09:15 AM,,,16.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/24/2004 03:05 PM,,,16.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/25/2004 01:10 PM,,,17.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,04/07/2005 08:00 AM,,,21.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,05/26/2005 12:00 PM,,,12.4,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/13/2005 12:00 PM,,,18.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/30/2005 08:55 AM,,,27.57,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/28/2005 12:00 PM,,,30.01,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/23/2006 12:00 PM,,,16.38,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/23/2007 09:45 AM,,,16.57,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/05/2008 12:15 PM,,,20.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/17/2009 04:15 PM,,,19.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/31/2010 03:45 PM,,,21.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/01/2011 08:30 AM,,,21.42,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/26/2012 03:45 PM,,,22.68,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/28/2013 01:10 PM,,,19.82,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/24/2003 12:00 PM,,,37.8,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/26/2004 12:00 PM,,,17.4,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/24/2004 03:05 PM,,,17.8,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/22/2005 12:00 PM,,,15.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/14/2006 12:00 PM,,,17.8,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/23/2007 09:45 AM,,,17.5,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/11/2007 12:00 PM,,,17.4,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/05/2008 12:15 PM,,,17.7,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/17/2009 09:25 AM,,,27.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/17/2009 04:15 PM,,,19.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/18/2009 12:00 PM,,,21.3,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/31/2010 03:45 PM,,,16.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/01/2011 08:30 AM,,,16.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/10/2011 12:00 PM,,,17.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/26/2012 03:45 PM,,,20.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/08/2012 12:00 PM,,,19.8,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/28/2013 01:10 PM,,,18.8,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/07/2013 12:00 PM,,,18.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/18/2014 04:00 PM,,,17.3,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/11/2014 12:00 PM,,,18.5,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/29/2015 07:30 AM,,,20.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/15/2016 12:00 PM,,,33.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/19/2016 12:00 PM,,,15.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/26/2016 11:45 AM,,,24.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/20/2016 12:00 PM,,,23.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/13/2017 12:00 PM,,,43.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/25/2017 07:45 AM,,,24.4,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/18/2020 10:40 AM,,,17.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/24/2003 12:00 PM,,,41.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/26/2004 12:00 PM,,,17.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/22/2005 12:00 PM,,,15.3,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/14/2006 12:00 PM,,,20.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/11/2007 12:00 PM,,,18.3,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/18/2009 12:00 PM,,,20.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/10/2011 12:00 PM,,,19.8,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/08/2012 12:00 PM,,,19.3,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/07/2013 12:00 PM,,,20.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/11/2014 12:00 PM,,,20.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/18/2014 04:00 PM,,,20.56,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/29/2015 07:30 AM,,,0.005,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/29/2015 07:30 AM,,,21.94,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/29/2015 07:30 AM,,,0.005,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/15/2016 12:00 PM,,,38.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,07/19/2016 12:00 PM,,,24.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/26/2016 11:45 AM,,,24.76,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/20/2016 12:00 PM,,,25.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,03/13/2017 12:00 PM,,,48.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,08/25/2017 07:45 AM,,,26.41,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
Mid,09/18/2020 10:40 AM,,,22.0,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,mg/l
